date,protocol,loss_usd,technique,tx_hash,block_number,tx_hash_source,sources,source_url,dhl_source_file,has_flashloan_event
2026-01-20,Makinafi,4200000,Flashloan Price Oracle Attack,0x569733b8016ef9418f0b6bde8c14224d9e759e79301499908ecbcd956a0651f5,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://x.com/PeckShieldAlert/status/2013468943193645085,,yes
2025-04-27,Aventa,,,0x59446b1f58457c83d18864bbfaa8930c9438da33017ad41f08397cf79a8c63e5,,manual_lookup,SlowMist Hacked,https://x.com/SlowMist_Team/status/1916405508833218995,,no
2024-07-15,Minterest,,,,,not_ethereum,SlowMist Hacked,https://x.com/Minterest/status/1812540672248820033,,n/a
2024-02-24,ZoomerCoin,,,,,not_found,SlowMist Hacked,https://twitter.com/SlowMist_Team/status/1761067998633136243,,unknown
2023-11-11,Raft Protocol,,,0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7,,manual_lookup,SlowMist Hacked,https://twitter.com/raft_fi/status/1723057566664548623,,yes
2023-11-07,MEV Bot,,,0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38,,manual_lookup,SlowMist Hacked,https://twitter.com/SlowMist_Team/status/1722081647028478029,,yes
2023-10-08,pSeudoEth,,,0x4ab68b21799828a57ea99c1288036889b39bf85785240576e697ebff524b3930,,etherscan_url,SlowMist Hacked,https://etherscan.io/tx/0x4ab68b21799828a57ea99c1288036889b39bf85785240576e697ebff524b3930,,yes
2023-10-05,DePay,,,0x9a036058afb58169bfa91a826f5fcf4c0a376e650960669361d61bef99205f35,,manual_lookup,SlowMist Hacked,https://etherscan.io/address/0xae60ac8e69414c2dc362d0e6a03af643d1d85b92,,no
2023-09-12,OxODexPool,,,,,not_found,SlowMist Hacked,https://twitter.com/Cointime_CN/status/1701420147616145422,,unknown
2023-08-22,Balancer,,,0x7020e0ccafff2c86db3df5a2af0cccb4e931fe948f69bf20ea517b0cc99c1f15,,manual_lookup,SlowMist Hacked,https://twitter.com/balancer/status/1694014645378724280,,yes
2023-07-22,Conic Finance,300000,Flashloan Price Oracle Attack,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://twitter.com/ConicFinance/status/1682524319518269440,,yes
2023-05-31,Sashimi Swap,,,,,not_ethereum,SlowMist Hacked,https://twitter.com/ArkhamIntel/status/1664210608865042435,,n/a
2023-05-10,FLOKI,,,0x118b7b7c11f9e9bd630ea84ef267b183b34021b667f4a3061f048207d266437a,,etherscan_url,SlowMist Hacked,https://etherscan.io/tx/0x118b7b7c11f9e9bd630ea84ef267b183b34021b667f4a3061f048207d266437a,,yes
2023-05-09,MChainCapital,,,0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26,,manual_lookup,SlowMist Hacked,https://twitter.com/NumenAlert/status/1655851512445403138,,yes
2023-03-21,Indexed Finance,,,,,not_found,SlowMist Hacked,https://twitter.com/AnciliaInc/status/1637925297327865856,,unknown
2023-03-13,Euler Finance,197000000,Flashloan Donate Function Logic Exploit,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://twitter.com/SlowMist_Team/status/1635288963580825606,,yes
2023-02-24,Earning.farm,,,0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,,etherscan_url,SlowMist Hacked,https://etherscan.io/tx/0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,,no
2022-10-15,Earning.Farm,,,0x160c5950a01b88953648ba90ec0a29b0c5383e055d35a7835d905c53a3dda01e,,manual_lookup,SlowMist Hacked,https://twitter.com/SupremacyHQ/status/1581012823701786624,,yes
2022-10-12,ATK,,,,,not_ethereum,SlowMist Hacked,https://www.panewslab.com/zh/sqarticledetails/q1qgvsgc.html,,n/a
2022-06-16,Inverse Finance,5800000,Flashloan Price Oracle Attack,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c,,manual_lookup,"DeFiHackLabs,DeFiLlama,SlowMist Hacked",https://www.panewslab.com/zh/articledetails/m20ffpy4.html,,yes
2022-05-17,FEG,,,0xc0031514e222bf2f9f1a57a4af652494f08ec6e401b6ae5b4761d3b41e266a59,,manual_lookup,SlowMist Hacked,https://twitter.com/CertiKAlert/status/1526357878503768070,,yes
2022-04-30,Saddle Finance,11000000,Flashloan Swap Logic Exploit,0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://twitter.com/saddlefinance/status/1520451021725741056,,no
2022-04-17,Beanstalk,181000000,Flashloan Governance Attack,0x68cdec0ac76454c3b0f7af0b8a3895db00adf6daaf3b50a99716858c4fa54c6f,,defihacklabs_exact,"DeFiHackLabs,DeFiLlama,SlowMist Hacked",https://twitter.com/BlockSecTeam/status/1515683983836979201,src/test/2022-04/Beanstalk_exp.sol,no
2022-03-15,Deus Finance,,,,,not_ethereum,SlowMist Hacked,https://twitter.com/peckshield/status/1503632734299701250,,n/a
2021-11-28,Visor Finance,,,0x6e5be7b85df2913ba8e807de9350d69969134d3f73391e620db267a9d0f8f461,,manual_lookup,SlowMist Hacked,https://twitter.com/GammaStrategies/status/1464702295153774594,,no
2021-11-21,Formation.Fi,,,,,not_found,SlowMist Hacked,https://formation-fi.medium.com/greetings-formation-fi-community-supporters-investors-and-friends-b09d673cda8a,,unknown
2021-10-27,Cream Finance,130000000,Flashloan Price Oracle Attack,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://medium.com/cream-finance/post-mortem-exploit-oct-27-507b12bb6f8e,,yes
2021-08-31,Cream Finance,18800000,Flashloan Reentrancy Attack,0xd7ec3046ec75efbd04b3eea8752a8a6373a92c0dd813d08b655661054d3239c5,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://medium.com/cream-finance/c-r-e-a-m-finance-post-mortem-amp-exploit-6ceb20a630c5,,no
2021-08-29,xToken,4500000,Flashloan Price Oracle Attack,0x924e6a6288587b497f73ddcf6ae3c184f15ab35dfcb85f3074b55266974029ef,,manual_lookup,"DeFiLlama,SlowMist Hacked",https://medium.com/xtoken/xsnx-post-mortem-666d35071f38,,no
2021-07-19,Array Finance,,,0xa17bbc7c9ab17aa88fdb5de83b41de982845e9c9c072efff6709dd29febf0daa,,manual_lookup,SlowMist Hacked,https://blocksecteam.medium.com/the-analysis-of-the-array-finance-security-incident-bcab555326c1,,yes
2021-02-27,Yeld.finance,,,,,not_found,SlowMist Hacked,https://twitter.com/YeldF/status/1365623299552772096,,unknown
