address,contract_name,etherscan_label,contract_code_name,set_name,classification,verified,code_family
0x80Aca0C645fEdABaa20fd2Bf0Daf57885A309FE6,Repay With Collateral Adapter V2,Aave: Repay With Collateral V2,ParaSwapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b_L3,ParaSwapRepayAdapter
0x498c5431EB517101582988fBb36431DdaaC8F4B1,UniswapRepayAdapter V2,No public label (deployed by Aave: Deployer 4),UniswapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b,ParaSwapRepayAdapter
0x135896DE8421be2ec868E0b811006171D9df802A,ParaSwapLiquiditySwapAdapter V2,Aave: Collateral Switch V2,ParaSwapLiquiditySwapAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b,ParaSwapLiquiditySwapAdapter
0x02e7B8511831B1b02d9018215a0f8f500Ea5c6B3,Repay With Collateral Adapter V3 Core (v1),Aave: Repay With Collateral Adapter V3,ParaSwapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b_L3,ParaSwapRepayAdapter
0x35bb522b102326ea3F1141661dF4626C87000e3E,Repay With Collateral Adapter V3 Core (v2),Aave: Repay With Collateral V3,ParaSwapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b,ParaSwapRepayAdapter
0xADC0A53095A0af87F3aa29FE0715B5c28016364e,Swap Collateral Adapter V3 Core,Aave: Swap Collateral Adapter V3,ParaSwapLiquiditySwapAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b_L3,ParaSwapLiquiditySwapAdapter
0x66E1aBdb06e7363a618D65a910c540dfED23754f,Repay With Collateral Adapter V3 Prime Market,Aave: Prime Market Repay With Collateral V3,ParaSwapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b_L3,ParaSwapRepayAdapter
0xD0887AA7fEBC8962c622493646195e7c76D94fCE,Swap Collateral Adapter V3 Prime Market,Aave: Prime Market Collateral Switch V3,ParaSwapLiquiditySwapAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b,ParaSwapLiquiditySwapAdapter
0x872fBcb1B582e8Cd0D0DD4327fBFa0B4C2730995,ParaSwap Liquidity Swap Adapter V3 Core,Aave: ParaSwap Liquidity Swap Adapter,ParaSwapLiquiditySwapAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b_L3,ParaSwapLiquiditySwapAdapter
0x1809f186D680f239420B56948C58F8DbbCdf1E18,ParaSwap Repay Adapter V3 Core (v0),Aave: ParaSwap Repay Adapter,ParaSwapRepayAdapter,AAVE_ADAPTER_SET,collateral_swap,L1_L2a_L2b,ParaSwapRepayAdapter
0xA859Dff8BCEE9C6daaEF5d0eCCb25219Da4B62b4,SparkCollateralSwitch,No public label (source verified — 0 transactions),SparkCollateralSwitch,DEFI_SAVER_CONSTRAINED_SET,collateral_swap,L1_L2a_L2b,SparkCollateralSwitch
0xd7852E139a7097E119623de0751AE53a61efb442,Debt Switch V3 Core (GHO),Aave: Debt Switch V3,ParaSwapDebtSwapAdapterV3GHO,AAVE_ADAPTER_SET,debt_swap,L1_L2a_L2b,ParaSwapDebtSwapAdapter
0xAf5c88245CD02Ff3DF332EF1E1FfD5bc5D1d87cd,Debt Swap Adapter V2,No public label (source verified),ParaSwapDebtSwapAdapterV2,AAVE_ADAPTER_SET,debt_swap,L1_L2a_L2b,ParaSwapDebtSwapAdapter
