Name,Date,Amount Lost (USD),Chains,Classification,Technique,Target,Bridge,Language,Link
"Indexed Finance","14 Oct 2021",16000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://ndxfi.medium.com/indexed-attack-post-mortem-b006094f0bdc"
"CREAM Lending","30 Aug 2021",18800000,"Ethereum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://twitter.com/peckshield/status/1432249600002478081"
"xToken","29 Aug 2021",4500000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://medium.com/xtoken/xsnx-post-mortem-666d35071f38"
"Popsicle Finance","3 Aug 2021",20000000,"Ethereum","Ecosystem","Flashloan Incentive Rewards Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/Mudit__Gupta/status/1422797923037814786?s=20&t=bZ-0VnJ8b4SQbx5PkaOGYg"
"xToken","12 May 2021",24000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://twitter.com/FrankResearcher/status/1392515198674681863?s=20"
"Alpha Finance","13 Feb 2021",37500000,"Ethereum","Ecosystem","Flashloan Pool Shares Exploit","DeFi Protocol",false,"Solidity","https://blog.alphaventuredao.io/alpha-homora-v2-post-mortem/"
"Growth DeFi","9 Feb 2021",1300000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/the-big-combo/"
"Yearn Finance","5 Feb 2021",11000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/yearn-rekt/"
"Warp Protocol","18 Dec 2020",7800000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/warp-finance-rekt/"
"Origin Protocol","17 Nov 2020",8000000,"Ethereum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://rekt.news/hack-epidemic/"
"CheeseBank","16 Nov 2020",3300000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"N/A","https://twitter.com/CheeseBank2020/status/1328343819201380353?s=20&t=qtl30Yo9ErEoVr8v3T20dg"
"ValueDefi","14 Nov 2020",7000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/value-defi-rekt/"
"Akropolis","12 Nov 2020",2000000,"Ethereum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://rekt.news/akropolis-rekt/"
"Harvest Finance","26 Oct 2020",25000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/harvest-finance-rekt/"
"Eminence","28 Sep 2020",15000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/eminence-rekt-in-prod/"
"Ooki","18 Feb 2020",650000,"Ethereum","Protocol Logic","Flashloan Price Oracle Attack","DeFi Protocol",false,"N/A","https://twitter.com/bneiluj/status/1228757175595438080?s=20&t=rHc453VaZzUqbci29H6YDA"
"Ooki","15 Feb 2020",350000,"Ethereum","Protocol Logic","Flashloan Slippage Attack","DeFi Protocol",false,"N/A","https://www.coinbase.com/blog/around-the-block-analysis-on-the-bzx-attack-defi-vulnerabilities-the-state-of-debit-cards-in"
