Name,Date,Amount Lost (USD),Chains,Classification,Technique,Target,Bridge,Language,Link
"Wise Lending V2","28 Feb 2026",66000,"Arbitrum, Ethereum","Protocol Logic","Flashloan Exploit","DeFi Protocol",false,"Solidity","N/A"
"Makina","19 Jan 2026",4200000,"Ethereum","Protocol Logic","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://x.com/TenArmorAlert/status/2013460083078836342"
"FutureSwap","16 Dec 2025",270000,"Ethereum","Protocol Logic","Flashloan Governance Attack","DeFi Protocol",false,"Solidity","https://x.com/tenarmoralert/status/2001116475424133536"
"UwU Lend","13 Jun 2024",3700000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://x.com/TheBlock__/status/1801177660946612664"
"UwU Lend","10 Jun 2024",20000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://x.com/theblockupdates/status/1800146327914877062"
"Hedgey","19 Apr 2024",44700000,"Arbitrum, Ethereum","Ecosystem","Claim Contract Flashloan Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/hedgeyfinance/status/1781257581488418862"
"PrismaLST","28 Mar 2024",11600000,"Ethereum","Protocol Logic","Flashloan Trove Manipulation","DeFi Protocol",false,"Solidity","https://twitter.com/PeckShieldAlert/status/1773345454832378109"
"BlueBerry","24 Feb 2024",1400000,"Ethereum","Protocol Logic","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://x.com/blueberryFDN/status/1760872935982879030"
"KyberSwap Elastic","22 Nov 2023",48000000,"Ethereum, Base, Polygon, Optimism, Arbitrum","Protocol Logic","Flashloan Swap Logic Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/KyberNetwork/status/1727475235342217682"
"Onyx Protocol","1 Nov 2023",2100000,"Ethereum","Ecosystem","Flashloan Donate Function Logic Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/decurityhq/status/1719657969925677161"
"Uwerx","2 Aug 2023",327000,"Ethereum","Ecosystem","Flashloan Pool Shares Exploit","Other",false,"N/A","https://twitter.com/CertiKAlert/status/1686667720920625152"
"Conic Finance","22 Jul 2023",300000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://medium.com/@ConicFinance/post-mortem-eth-and-crvusd-omnipool-exploits-c9c7fa213a3d"
"Conic Finance","21 Jul 2023",3200000,"Ethereum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://twitter.com/ConicFinance/status/1682385596700844032?t=4a-w-I06_7EcbwpKWbPZHA&s=19"
"Arcadia V1","10 Jul 2023",460000,"Ethereum, Optimism","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"N/A","https://arcadiafinance.medium.com/post-mortem-72e9d24a79b0"
"Sturdy V1","12 Jun 2023",770000,"Ethereum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://twitter.com/blocksecteam/status/1668084629654638592"
"Yearn Finance","13 Apr 2023",11539000,"Ethereum","Ecosystem","Flashloan Misconfiguration Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/osec_io/status/1646411672175939585?s=20"
"Euler V1","13 Mar 2023",197000000,"Ethereum","Protocol Logic","Flashloan Donate Function Logic Exploit","DeFi Protocol",false,"Solidity","https://twitter.com/peckshield/status/1635229594596036608?s=20"
"Roe Finance","11 Jan 2023",80000,"Ethereum, Polygon","Ecosystem","Flashloan Pool Shares Exploit","DeFi Protocol",false,"N/A","https://twitter.com/spreekaway/status/1613205435762495488"
"Inverse Finance Frontier","16 Jun 2022",5800000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://twitter.com/peckshield/status/1537382891230883841?s=20&t=uxBt2fIcD_f82MM2VD3pCg"
"Rari Capital","1 May 2022",80000000,"Ethereum, Arbitrum","Ecosystem","Flashloan Reentrancy Attack","DeFi Protocol",false,"Solidity","https://twitter.com/Hacxyk/status/1520370421773725698?s=20&t=3ZdC2UMcxHaD73SwrcnudQ"
"Saddle Finance","30 Apr 2022",11000000,"Ethereum","Ecosystem","Flashloan Swap Logic Exploit","DeFi Protocol",false,"Solidity","https://rekt.news/saddle-finance-rekt2/"
"Beanstalk","17 Apr 2022",181000000,"Ethereum","Ecosystem","Flashloan Governance Attack","DeFi Protocol",false,"Solidity","https://twitter.com/FrankResearcher/status/1515693895887294466?s=20"
"CREAM Lending","27 Oct 2021",130000000,"Ethereum","Ecosystem","Flashloan Price Oracle Attack","DeFi Protocol",false,"Solidity","https://rekt.news/cream-rekt-2/"
