transaction_hash,block_timestamp,quarter
0xbe4dd939dc0c2225e9bf6fd09990150e95d7cba9705ef6b13cf914402a013161,2020-02-27T23:45:59,2020-01-01
0xe4587af4484e7075472a063e1767b8e59eb84276528644303f458a4a7a38aa11,2020-03-29T07:56:03,2020-01-01
0x8ea143ae8b046defdf82f5e86e7ab39cd8dcff5dc7a132ea51aab7f2d06c8c4d,2020-03-12T12:32:29,2020-01-01
0x4bed83594fd2de8beb0e03f1cfa1201b5424e976846563c9b00681cf2d30138d,2020-03-28T16:25:56,2020-01-01
0xb4c4a108d70e96261af8e68d0b9deb80ca13ba1f6765ce35f730c92cadb35dde,2020-03-20T18:52:07,2020-01-01
0xb61b20c6708e235888d884fb66d058f9f8574a2a63c90b9aa00bdb2c0798d0d7,2020-03-30T13:02:37,2020-01-01
0x46316f041ad67c5bc4cfeb3a2fc7584da71da45c58a297d4b10ec00f88965b08,2020-03-30T22:42:30,2020-01-01
0x0f55695755817048e401c91e1278ee6b2e6d10a5a0a00d81d84c712c5372e29e,2020-04-04T14:52:19,2020-04-01
0x57489be67c4c9e4a57c85d6a10e977c40d31623547e513932847b0342e157b10,2020-04-14T18:54:02,2020-04-01
0x1e045b198cd8b9eea21d727fd427f9652db6c4b83a27b6326ec2c368080e1614,2020-04-06T16:10:14,2020-04-01
0xedc3fec36c820247d0e9fa03112cc6f39f7a74739c7fefc41595d64d448b80f4,2020-04-11T16:41:58,2020-04-01
0x55397fcfc54d9c2cd7d72a071a6b82d9ef3130b11a3518b811c273b2df63fff8,2020-09-12T16:46:15,2020-07-01
0x9d93735f1c2b19a0a280b90a6926692665053f2efb34e72dcff598b3fce291fb,2020-07-24T10:57:26,2020-07-01
0x5e49972e1e97072d2a84a5395d17a688d79400a58bab056b5ab7baa078d12ed8,2020-09-01T20:12:08,2020-07-01
0xdb40b6a8e7090bce16816cf544cd505fe8093f21811f1a1606adf0bb274ca226,2020-09-19T18:36:35,2020-07-01
0x0df8f9862feb01cb85c423222aae5be354b953641caff878c5218678490b3fa7,2020-08-31T19:07:02,2020-07-01
0xd2f4505025bdc4a36e9ddd7f064c90d76b48139b2212f665520c1436a9ad37ce,2020-09-04T09:04:58,2020-07-01
0xb3f54bf94c12fd90f22d1aca324de27246061ae4818d5037877ecdeeeb9d5740,2020-09-10T20:53:52,2020-07-01
0x02fee70aebbab33a2f822b9661480248b84d3bdbcae1b2ed1abc24fbce86c418,2020-09-23T21:04:29,2020-07-01
0xa4ea25f8fb42d3304d6d105115d52e0167c532d6f0b8e0f567d5be1dd48757ce,2020-07-30T15:28:06,2020-07-01
