pool_address,flash_loan_count,unique_transactions,first_seen,last_seen
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,1101067,1046587,2024-01-22 10:27:11 UTC,2026-06-30 23:58:59 UTC
0xba12222222228d8ba445958a75a0704d566bf2c8,837970,792285,2021-10-26 21:44:45 UTC,2026-06-30 23:58:11 UTC
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,162351,160657,2023-01-27 12:32:47 UTC,2026-06-30 23:58:59 UTC
0x26de7861e213a5351f6ed767d00e0839930e9ee1,60012,46375,2025-03-20 15:59:59 UTC,2026-06-30 23:50:47 UTC
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,48121,47268,2020-12-02 19:59:55 UTC,2026-06-06 05:03:35 UTC
0xc13e21b648a5ee794902342038ff3adab66be987,39089,37884,2023-06-09 09:17:23 UTC,2026-06-30 23:50:47 UTC
0x60744434d6339a6b27d73d9eda62b6f66a0a04fa,29116,29093,2022-06-16 19:56:51 UTC,2026-06-30 18:29:11 UTC
0x398ec7346dcd622edc5ae82352f02be94c62d119,24050,24041,2020-01-17 22:45:11 UTC,2024-02-02 12:24:47 UTC
0xdbfd76af2157dc15ee4e57f3f942bb45ba84af24,21250,14480,2022-04-19 12:02:38 UTC,2025-10-08 17:47:59 UTC
0x69f37e419bd1457d2a25ed3f5d418169caae8d1f,15387,10573,2022-04-19 12:03:40 UTC,2025-09-26 06:27:23 UTC
0x1eb4cf3a948e7d72a198fe073ccb8c7a948cd853,8860,8699,2021-10-01 19:42:30 UTC,2023-01-28 14:20:35 UTC
0xb9303686b0ee92f92f63973ef85f3105329d345c,3455,3455,2020-02-26 12:54:50 UTC,2020-10-26 00:12:58 UTC
0x6c5fdc0c53b122ae0f15a863c349f3a481de8f1f,2034,2034,2024-09-11 20:55:11 UTC,2026-06-29 02:03:11 UTC
0xb702ce183b4e1faa574834715e5d4a6378d0eed3,833,6,2023-01-12 10:16:35 UTC,2025-09-27 21:11:47 UTC
0x4eaf187ad4ce325bf6c84070b51c2f7224a51321,778,778,2022-12-09 06:58:35 UTC,2025-01-13 17:32:23 UTC
0xcd2b31071119d7ea449a9d211ac8ebf7ee97f987,697,697,2024-09-11 16:45:23 UTC,2025-08-08 16:22:59 UTC
