pool_address,flash_loan_count,unique_transactions,first_seen,last_seen
0xdbb20a979a92cccce15229e41c9b082d5b5d7e31,695,19,2023-12-13 17:17:47 UTC,2024-01-29 04:14:35 UTC
0x913f2dee2746cda2ab34106c47abc4a8f4e36fa5,619,619,2021-06-18 13:58:57 UTC,2025-03-08 19:13:59 UTC
0x4e033931ad43597d96d6bcc25c280717730b58b1,597,597,2024-07-29 23:45:23 UTC,2026-06-06 21:05:11 UTC
0x04c80bb477890f3021f03b068238836ee20aa0b8,260,14,2024-01-28 17:54:59 UTC,2024-01-29 02:04:47 UTC
0xa428723ee8ffd87088c36121d72100b43f11fb6a,202,202,2026-01-24 10:36:11 UTC,2026-06-29 07:34:59 UTC
0x13a145d215182924c89f2abc7d358dcc72f8f788,190,190,2021-03-31 11:37:35 UTC,2024-05-16 19:58:35 UTC
0xd315a9c38ec871068fec378e4ce78af528c76293,181,181,2024-05-05 09:06:23 UTC,2026-06-26 19:30:23 UTC
0xa950974f64aa33f27f6c5e017eee93bf7588ed07,172,172,2023-11-07 05:54:35 UTC,2026-06-30 15:40:11 UTC
0x6670cc1d4debe29ec12f1da6d66a2a487431b3d5,163,163,2024-12-13 16:14:11 UTC,2025-10-22 23:40:59 UTC
0x7937d4799803fbbe595ed57278bc4ca21f3bffcb,157,157,2022-08-16 21:56:11 UTC,2024-07-03 04:40:59 UTC
0x6598dad18bda89a0e58a1f427c8cebc0de90f153,150,1,2026-03-17 11:05:47 UTC,2026-03-17 11:05:47 UTC
0xa7a4bb50af91f90b6feb3388e7f8286af45b299b,138,138,2024-09-08 03:36:59 UTC,2025-03-08 00:11:47 UTC
0x4a2ff9bc686a0a23da13b6194c69939189506f7f,123,123,2024-04-10 08:51:23 UTC,2026-03-26 11:03:35 UTC
0xd46c8648f2ac4ce1a1aace620460fbd24f640853,112,45,2023-06-27 22:46:11 UTC,2023-08-31 23:31:23 UTC
0x5cd6614d11c3dd84fb941e5be2f5a454c88e32b6,109,109,2025-07-04 07:11:47 UTC,2025-09-15 10:19:11 UTC
0x09e01425780094a9754b2bd8a3298f73ce837cf9,87,87,2024-05-27 15:14:59 UTC,2025-03-28 00:01:23 UTC
0xb8bcafefebdd846dc1f262ca4c5546d7d27092a2,75,43,2022-12-02 11:18:47 UTC,2025-03-06 08:47:59 UTC
0xbbe4ed8f4d9a36f70870d479708c1d8179af892e,73,70,2021-08-11 13:49:10 UTC,2026-06-12 09:46:59 UTC
0x53fbcada1201a465740f2d64ecdf6fac425f9030,61,2,2023-10-07 07:55:47 UTC,2023-10-18 11:48:59 UTC
0x76f0c94ced5b48020bf0d7f3d0ceabc877744cb5,55,1,2023-11-10 22:43:59 UTC,2023-11-10 22:43:59 UTC
0xd3a4da66ec15a001466f324fa08037f3272bdbe8,51,51,2024-12-26 14:11:47 UTC,2025-05-13 01:19:59 UTC
0x472d155432862412d3fd1aa23160a7bc03550448,50,1,2023-12-26 07:39:35 UTC,2023-12-26 07:39:35 UTC
0x663a68f2b5ed9194eec31c4af57c384adb1886a2,49,49,2025-03-18 17:35:35 UTC,2025-09-23 06:22:35 UTC
0x3bc3d34c32cc98bf098d832364df8a222bbab4c0,36,36,2024-04-08 19:31:35 UTC,2025-08-04 20:40:11 UTC
0xacd6ab55f6fba36293a9a920ffcb2f0f3d34967a,36,21,2022-05-13 19:43:41 UTC,2022-06-20 07:59:14 UTC
0x6447c4390457cad03ec1baa4254cee1a3d9e1bbd,35,35,2024-03-21 00:24:35 UTC,2026-03-30 10:01:35 UTC
0x7731a73252371de56fb37f7f428abd9f0e54c737,30,30,2026-02-22 14:28:11 UTC,2026-03-16 06:58:11 UTC
0xe59ac0874adf2531f536618103c6d06570754383,30,29,2022-12-23 08:28:11 UTC,2026-02-19 00:12:47 UTC
0x6112818d0c0d75448551b76ec80f14de10f4e054,28,28,2021-05-11 10:15:09 UTC,2024-08-24 20:47:11 UTC
0x2409af0251dcb89ee3dee572629291f9b087c668,26,26,2022-10-29 16:36:47 UTC,2026-06-07 08:07:47 UTC
0x26560200af903a4f4ba6a0d6c928e3473b472f88,26,18,2024-01-29 22:21:59 UTC,2025-03-14 08:16:23 UTC
0xce6ab1c71981e79cd30052c521c162674251018a,19,19,2025-08-11 23:35:35 UTC,2026-03-03 05:24:35 UTC
0xe7ffcce05c17f414150bb864945a82899c013c4b,17,17,2022-07-23 15:38:28 UTC,2022-11-21 02:14:23 UTC
0x683d2ea925db77a9d6f44110efbb3ebd11d54c85,14,14,2025-11-17 13:27:11 UTC,2025-12-08 06:45:23 UTC
0x90957ad08d1ec15d4ccf5461444ffb0dc499eb2d,14,14,2026-02-09 15:53:59 UTC,2026-06-16 14:45:11 UTC
0x160287e2d3fdcde9e91317982fc1cc01c1f94085,8,8,2025-07-24 12:48:11 UTC,2025-08-27 18:31:47 UTC
0x21eadff43eab8d0824d5c3bcb2e75ed1f3ce8685,8,1,2024-09-26 03:46:35 UTC,2024-09-26 03:46:35 UTC
0xcf472064a103fa0abfe75f66367e27c484f53c8b,8,8,2022-12-16 17:28:35 UTC,2023-03-06 08:47:11 UTC
0xf887b602a746f932f9bbcb6334d3407b7eec23ce,8,8,2025-07-11 08:33:47 UTC,2025-08-19 06:14:59 UTC
0x515c37d668f203c71cad7c61bd77f6a1bb8c1ca4,6,6,2025-10-07 10:42:35 UTC,2025-10-29 08:41:47 UTC
0xc38d4240a1e47ef954247a38aafdd3e85f56198f,6,1,2024-09-26 03:46:35 UTC,2024-09-26 03:46:35 UTC
0xd14a7c302051a0f1e9ce8e9a8c4845a45f41b46f,6,6,2022-11-18 20:32:23 UTC,2022-12-09 06:00:35 UTC
0x280ddd897f39c33fef1cbf863b386cb9a8e53a0e,5,5,2026-05-29 05:55:59 UTC,2026-05-29 06:55:35 UTC
0x0aa97c284e98396202b6a04024f5e2c65026f3c0,3,3,2025-03-12 00:34:35 UTC,2025-07-01 12:38:47 UTC
0x70ac319150f221851f2e42ac54826490deccdb70,3,3,2026-03-11 04:17:59 UTC,2026-03-15 15:38:11 UTC
0x2ca7641b841a79cc70220ce838d0b9f8197accda,2,2,2026-06-15 13:53:59 UTC,2026-06-15 14:53:59 UTC
0x73886a0d00dd9c0c201ec3cd85a407c6a629bb03,2,2,2025-07-15 02:52:47 UTC,2025-07-15 03:18:23 UTC
0xb06661a221ab2ec615531f9632d6dc5d2984179a,2,2,2021-02-17 06:53:18 UTC,2021-05-15 13:34:23 UTC
0xd38d220b94e35e0ebc952437182f7f3244af97a9,2,2,2025-08-07 11:14:23 UTC,2025-08-07 12:02:35 UTC
0xdb81e17b5ce19e9b2f64b378f98d88e4ca6726e7,2,2,2025-07-05 14:40:11 UTC,2025-07-24 13:00:11 UTC
0xe9eb8a0f6328e243086fe6efee0857e14fa2cb87,2,2,2026-01-03 13:57:35 UTC,2026-01-03 13:58:35 UTC
0x02ae6a64a0dc17fffdc5722ad8270a7b32be44db,1,1,2026-05-30 12:34:47 UTC,2026-05-30 12:34:47 UTC
0x046b7998a81bacf7ab2a8bc26918979953fa7f8d,1,1,2023-09-18 00:13:11 UTC,2023-09-18 00:13:11 UTC
0x1116898dda4015ed8ddefb84b6e8bc24528af2d8,1,1,2022-07-10 11:56:25 UTC,2022-07-10 11:56:25 UTC
0x4f7a660e7b4e6eff6779a1014337a0e757fe4ba2,1,1,2026-05-08 10:46:47 UTC,2026-05-08 10:46:47 UTC
0x8c6564ad2f1728a0e024dbdbfe8108680b909008,1,1,2026-06-27 02:33:11 UTC,2026-06-27 02:33:11 UTC
0x8d395bec6573a0b0d556639b38ed8c87f18e6fe0,1,1,2022-06-14 14:29:07 UTC,2022-06-14 14:29:07 UTC
0x8e33597e8c62f94540d6c0a8228af592541f75e0,1,1,2026-03-18 05:21:35 UTC,2026-03-18 05:21:35 UTC
0x93c8201c35666f9af8b3b943bad67b42ad0159a1,1,1,2025-12-08 19:12:47 UTC,2025-12-08 19:12:47 UTC
0xb9c43ea7e3ea79b4b6941c549a60805b6c4fc948,1,1,2026-05-08 11:15:35 UTC,2026-05-08 11:15:35 UTC
0xe3f9b021abb287fdbedd0c011a0a399ba266a3b7,1,1,2026-05-08 11:00:47 UTC,2026-05-08 11:00:47 UTC
0xfb83f4b543b8946c08f352c90123bf3fd679178c,1,1,2023-07-19 14:44:35 UTC,2023-07-19 14:44:35 UTC
