quarter,flash_loan_transactions,flash_loan_events,total_ethereum_transactions,flash_loan_pct_of_ethereum,one_in_n_ethereum_tx,flash_loan_index_2020q1,ethereum_index_2020q1
2020_Q1,1317,1993,59665014,0.0022,45304,100.0,100.0
2020_Q2,1849,3364,78662819,0.0024,42543,140.4,131.8
2020_Q3,2782,4003,103425666,0.0027,37177,211.2,173.3
2020_Q4,4869,4920,103013471,0.0047,21157,369.7,172.7
2021_Q1,9301,9578,112305702,0.0083,12075,706.2,188.2
2021_Q2,16783,17154,123009465,0.0136,7329,1274.3,206.2
2021_Q3,7604,7661,110330271,0.0069,14510,577.4,184.9
2021_Q4,5773,5855,116161925,0.0050,20122,438.3,194.7
2022_Q1,8115,8184,105580971,0.0077,13011,616.2,177.0
2022_Q2,14681,14980,99638984,0.0147,6787,1114.7,167.0
2022_Q3,12864,12946,105815264,0.0122,8226,976.8,177.3
2022_Q4,18454,19334,97508049,0.0189,5284,1401.2,163.4
2023_Q1,29380,37488,94763301,0.0310,3225,2230.8,158.8
2023_Q2,19629,22443,95313768,0.0206,4856,1490.4,159.7
2023_Q3,23893,24858,93919245,0.0254,3931,1814.2,157.4
2023_Q4,28487,30940,99104337,0.0287,3479,2163.0,166.1
2024_Q1,25571,27286,107452234,0.0238,4202,1941.6,180.1
2024_Q2,34564,35610,106883044,0.0323,3092,2624.4,179.1
2024_Q3,46439,48667,103315009,0.0449,2225,3526.1,173.2
2024_Q4,37504,38662,112095697,0.0335,2989,2847.7,187.9
2025_Q1,88161,92071,110364282,0.0799,1252,6694.1,185.0
2025_Q2,106082,111506,121082115,0.0876,1141,8054.8,202.9
2025_Q3,187750,196212,147337159,0.1274,785,14255.9,246.9
2025_Q4,429482,469072,145154396,0.2959,338,32610.6,243.3
2026_Q1,595528,646076,200442726,0.2971,337,45218.5,335.9
2026_Q2,438176,468971,203852887,0.2149,465,33270.8,341.7
